id,name,type,exp_name,m1a_hit,m5c_hit,m6a_hit,m7g_hit,full_hit,m1a_Regulation,m5c_Regulation,m6a_Regulation,m7g_Regulation,regulation,logFC,PValue,FDR,degree.x,closeness_centrality.x,betweenness_centrality.x,eigenvector_centrality.x,page_rank_score.x,clustering_coefficient.x,DNB,m1a_Foldchange,m5c_Foldchange,m6a_Foldchange,m7g_Foldchange,CCF_diff,CCF_abs_diff,CCF_p_ttest,CCF_p_wilcoxon,divergene,protein_degree,protein_closeness_centrality,protein_betweenness_centrality,protein_eigenvector_centrality,protein_page_rank_score,protein_clustering_coefficient,protein_m1.mean,protein_m0.mean,protein_Diff,protein_abs_Diff,protein_pvalue,lit_meta,lit_meta_colon
AHR,196,mRNA,ENSG00000106546,0,0,0,1,1,up,down,down,down,down,-1.405652525,0.000216515,0.002316368,5254,9.17E-09,16604.29249,0.865222195,0.000142372,0.455485223,no,2.21693173,5.609929078,5.327183626,516.2,-0.211443981,0.211443981,0.125028614,0.222587748,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
AIF1,199,mRNA,ENSG00000204472,1,1,1,1,4,down,down,down,down,down,-3.160160628,9.77E-06,0.000233733,3806,1.13E-08,11025.78424,0.574617261,0.000110557,0.458676562,no,1240.4,93.19512195,26.42037895,632.5,NA,NA,NA,NA,no,0.000586166,21.46312248,0.037892044,0.001869487,0.416091954,NA,10535479.13,23563323.33,-13027844.2,269593192.8,0.018094257,0,0
AKR1B1,231,mRNA,ENSG00000085662,0,0,1,0,1,down,down,down,down,down,-3.261747939,4.41E-06,0.000133613,4555,1.14E-08,13691.8792,0.727687659,0.000128968,0.45771397,no,27.9352518,50.09090909,13.7693041,5.133428981,-0.0063125,0.0063125,0.226561695,0.245366049,no,0.000579039,33.21306246,0.055004392,0.001945859,0.246305419,NA,93840308.83,205918329.9,-112078021.1,269593192.8,0.046545085,0,0
AKR1C4,1109,mRNA,ENSG00000198610,1,0,1,0,2,down,down,up,down,down,-5.185352901,0.012487251,0.047217835,1020,1.30E-08,17400.71989,0.052893185,5.79E-05,0.381808386,no,574.2,161,217.5,300.1,0.222971667,0.222971667,0.21138206,0.267382561,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
AKTIP,64400,mRNA,ENSG00000166971,0,1,0,1,2,down,down,down,down,down,-0.306316496,0.311805236,0.45720437,118,8.13E-09,30065.83233,0.005859812,3.11E-05,0.34405331,no,2.128545642,391,9.519340974,1480.1,-0.092833333,0.092833333,0.707225051,0.290208152,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ALDH3A1,218,mRNA,ENSG00000108602,0,0,1,0,1,up,down,up,up,up,3.017019248,0.037003061,0.103800684,2907,2.47E-08,5180.632689,0.309226136,9.75E-05,0.363995728,no,168.8,2.312335958,33.46058091,187.5,0.025020333,0.025020333,0.804651094,0.67174511,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
ALDOB,229,mRNA,ENSG00000136872,1,1,0,1,3,down,down,up,down,down,-4.683539177,0.014008575,0.051456637,396,1.23E-08,5321.856388,0.010122418,4.27E-05,0.388224012,no,7344.2,89.15920398,6.691986163,898.4,0.061814286,0.061814286,0.792800322,0.883506191,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ALKBH2,121642,mRNA,ENSG00000189046,1,0,0,0,1,down,up,up,down,up,1.486381544,0.041716983,0.113284727,770,1.75E-08,1586.055748,0.109401001,3.63E-05,0.533720636,no,186.9,24.87096774,2.755124541,18.97556008,-0.012617857,0.012617857,0.957131605,0.366839891,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ALKBH5,54890,mRNA,ENSG00000091542,0,0,0,1,1,down,down,down,down,down,-0.930672797,0.024504212,0.077285866,2321,8.38E-09,30150.94649,0.356942041,7.37E-05,0.543871176,no,2.681436724,4.58778626,2.54049343,798.7,-0.189816667,0.189816667,0.247596849,0.230734558,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ALOX5,240,mRNA,ENSG00000012779,1,0,1,1,3,down,down,down,down,down,-2.968479054,3.25E-07,2.22E-05,3122,1.11E-08,17806.5311,0.425594922,9.85E-05,0.428542076,no,566.5,29.68131868,11.98882053,5053.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
ALYREF,10189,mRNA,ENSG00000183684,0,0,0,0,0,down,up,up,down,up,1.467750813,0.010912717,0.04291849,2246,1.78E-08,3445.253673,0.274319002,7.54E-05,0.483906257,no,2.506578947,15.14634146,4.779108635,350,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
AMBP,259,mRNA,ENSG00000106927,1,1,0,1,3,down,down,down,down,down,-6.790077145,0.00240032,0.014206497,3317,1.42E-08,11079.81112,0.404878406,0.00010314,0.406504417,no,3052.9,381,7.899004267,1247.4,-0.090026326,0.090026326,0.595734436,0.435161957,no,0.000634518,15.52749811,0.034181007,0.001478486,0.60968661,NA,34415288.67,88970904.85,-54555616.18,269593192.8,0.004000938,2,0
AMH,268,mRNA,ENSG00000104899,1,0,0,0,1,up,up,up,down,up,2.858222169,0.173908074,0.302577873,849,8.32E-09,339569.9341,0.053374958,7.81E-05,0.282543836,no,272.1,4.98467433,5.623403521,266.9,-0.095559508,0.095559508,0.46066538,0.928231623,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANAPC13,25847,mRNA,ENSG00000129055,0,1,0,1,2,down,down,up,down,up,0.014346831,0.963687891,0.977464308,42,8.24E-09,1312.296373,0.000104381,2.79E-05,0.321718931,no,20.55970149,69.18181818,2.09558522,998.1,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANAPC15,25906,mRNA,ENSG00000110200,0,1,0,1,2,down,up,up,down,up,0.789969897,0.25071345,0.392719461,604,8.28E-09,4173.171457,0.060123431,3.24E-05,0.468589722,no,155.9,201,2.083299799,1048,0.042856667,0.042856667,0.825857086,1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANAPC2,29882,mRNA,ENSG00000176248,1,0,0,0,1,down,up,up,down,up,0.578569841,0.169314724,0.296564094,298,8.11E-09,1809.130389,0.0081191,3.22E-05,0.263507559,no,241.1,28.27272727,3.404178273,300.1,-0.039059758,0.039059758,0.734974418,0.854847924,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANAPC7,51434,mRNA,ENSG00000196510,1,0,0,1,2,down,up,up,down,up,0.784517202,0.016955792,0.059392147,4233,8.28E-09,45400.37636,0.660331222,0.00012218,0.457714099,no,427,2.355498721,3.725016619,1064.6,0.132692424,0.132692424,0.473714861,0.671238452,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANGPTL1,9068,mRNA,ENSG00000116194,1,1,1,0,3,down,up,down,up,down,-2.10521039,0.039203129,0.108382966,1840,1.01E-08,7416.958077,0.193191708,6.71E-05,0.48658711,no,465.8,261,497.5,241.7,-0.132086014,0.132086014,0.194166478,0.543528984,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
ANKRA2,57763,mRNA,ENSG00000164331,0,0,0,0,0,up,down,up,down,down,-0.151060952,0.658324539,0.765040768,82,8.15E-09,7810.706946,0.002249011,2.64E-05,0.4477567,no,7.187301587,4.956043956,5.319160388,82.14342629,-0.001721591,0.001721591,0.850367484,0.247447453,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANKRD13D,338692,mRNA,ENSG00000172932,0,0,0,1,1,up,down,down,down,down,-0.711363349,0.075414235,0.168943888,1463,8.22E-09,11540.60475,0.159985473,5.82E-05,0.460373668,no,19.24793388,3.921013413,2.074440053,485.8615385,0.025814097,0.025814097,0.839809222,0.984131974,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANKRD23,200539,mRNA,ENSG00000163126,0,0,0,1,1,up,up,up,down,up,0.573105793,0.543095563,0.671740401,200,8.18E-09,3737.176925,0.008122176,2.69E-05,0.235628141,no,16.571875,4.943661972,2.594435076,1114.5,-0.051424747,0.051424747,0.806550948,0.905362607,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANKRD46,157567,mRNA,ENSG00000186106,0,1,0,0,1,up,up,up,down,up,0.522692896,0.189152022,0.32171623,129,8.23E-09,27578.74865,0.006961111,2.91E-05,0.386991279,no,16.5785124,1001,8.425894378,167.2,-0.313133333,0.313133333,0.416550679,0.506555169,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANKRD61,100310846,mRNA,ENSG00000157999,0,0,0,0,0,up,down,up,up,up,3.373632754,0.136318241,0.254599806,709,8.23E-09,156923.1723,0.101257956,5.19E-05,0.54173938,no,26.82758621,171,10.82157676,265.8,0,0,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANKRD9,122416,mRNA,ENSG00000156381,1,0,0,1,2,up,down,up,down,up,0.963083158,0.113259254,0.22312224,3053,8.27E-09,32724.8312,0.352272828,1.00E-04,0.364792338,no,517.4,4.222416813,3.405555556,2144.8,0,0,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANO5,203859,mRNA,ENSG00000171714,0,1,1,0,2,up,down,down,down,up,1.236587518,0.280087246,0.426820237,48,7.73E-09,1318.707059,2.08E-06,3.98E-05,0.234042553,no,4.21248066,531,11.78301887,150.6,-0.205869444,0.205869444,0.10925852,0.201855284,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
ANO9,338440,mRNA,ENSG00000185101,1,0,1,0,2,up,up,up,down,up,3.687456775,1.08E-06,4.97E-05,3412,2.69E-08,2873.187248,0.402361472,0.000105924,0.396283247,no,135.4181818,22.7218543,33.20435198,15.53054662,-0.054015686,0.054015686,0.628817262,0.544654001,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
ANP32B,10541,mRNA,ENSG00000136938,0,0,0,1,1,up,up,up,down,up,0.927399339,0.008173699,0.034760265,3956,8.21E-09,29710.24826,0.601077971,0.000114168,0.456571592,no,6.586546701,2.604171459,4.231783172,15755.8,0.026933333,0.026933333,0.40051325,0.479500122,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ANXA4,307,mRNA,ENSG00000196975,0,0,0,1,1,up,up,up,down,up,1.17753601,0.001496397,0.009893062,4448,1.58E-08,9147.091968,0.735624016,0.000123591,0.497058683,no,13.36363636,4.943661972,8.673371648,915,0.160538889,0.160538889,0.348302836,0.240879651,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
AP1AR,55435,mRNA,ENSG00000138660,0,0,0,1,1,down,up,up,down,up,0.776655234,0.047652149,0.124521778,491,8.22E-09,54739.27067,0.038628152,4.15E-05,0.41093146,no,5.908745247,30.38271605,2.991097429,549.4,-0.085438889,0.085438889,0.636639452,0.920420105,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AP3M2,10947,mRNA,ENSG00000070718,0,0,0,0,0,down,up,up,down,down,-0.191334416,0.610653051,0.727941117,110,7.70E-09,12023.13976,0.002740339,3.03E-05,0.302752294,no,4.622302158,16.71428571,7.145064378,19.58695652,0.046720833,0.046720833,0.591397509,0.937168572,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
APBB1IP,54518,mRNA,ENSG00000077420,1,1,1,1,4,down,down,down,down,down,-3.140433143,4.46E-07,2.70E-05,4349,1.12E-08,13522.55192,0.675674167,0.000122142,0.452330189,no,186.9,148.2727273,728.5,783.6142857,0.001572778,0.001572778,0.99172969,0.348252201,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
APMAP,57136,mRNA,ENSG00000101474,1,0,0,0,1,down,down,down,down,down,-0.503023938,0.150545293,0.273007785,240,8.00E-09,12280.76694,0.005116227,3.05E-05,0.313145049,no,210.1,27.36363636,4.547745358,433.1,-0.070244394,0.070244394,0.665402629,0.971710423,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
APOBEC3G,60489,mRNA,ENSG00000239713,1,0,0,1,2,down,down,down,down,down,-2.77947394,7.72E-05,0.001088888,2733,1.09E-08,13982.35357,0.359516106,8.68E-05,0.448396824,no,884,4.262032086,8.276107162,898.4,0.018023106,0.018023106,0.922427144,0.736573996,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
APOBEC3H,164668,mRNA,ENSG00000100298,1,1,1,0,3,down,down,down,down,down,-2.183815944,0.127065002,0.242040272,3956,8.21E-09,26380.65875,0.624601262,0.000114032,0.462265579,no,217.9,491,266.6,3.660125589,-0.142441989,0.142441989,0.293790437,0.44784361,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
APOBR,55911,mRNA,ENSG00000184730,0,0,0,0,0,up,down,up,down,up,1.463858334,0.020507678,0.068184665,233,1.68E-08,1999.718616,0.002226169,4.06E-05,0.207007548,no,2.975570645,5.804634869,2.026898169,56.42237497,0.04779306,0.04779306,0.64501329,0.794836702,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
APOC4,346,mRNA,NA,1,0,1,0,2,down,down,down,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,212.2624204,3.514619883,40.23703704,57.31454287,-0.203116667,0.203116667,0.279182194,0.278517024,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
APOE,348,mRNA,ENSG00000130203,0,1,1,1,3,down,down,down,down,down,-5.167892881,2.38E-06,8.58E-05,5306,1.26E-08,7476.810689,0.908002202,0.00014141,0.483944945,no,18.17480935,143.5228084,102.0072306,1580.219766,0.007438864,0.007438864,0.96779171,0.858333813,no,0.000712758,677.3298585,0.051369755,0.002697403,0.338435374,NA,34613733,121484807.3,-86871074.32,269593192.8,0.003014073,1,0
APOL1,8542,mRNA,ENSG00000100342,0,1,0,0,1,down,down,down,down,down,-1.246273035,0.232407394,0.37172086,307,8.21E-09,22851.53355,0.01002367,3.70E-05,0.382661642,no,7.420922532,471,12.04371585,46.13812698,-0.095125247,0.095125247,0.24031485,0.445872714,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
APOL2,23780,mRNA,ENSG00000128335,0,0,0,0,0,down,down,down,down,down,-0.363240176,0.315077355,0.460707454,219,7.91E-09,4516.048008,0.002906367,3.85E-05,0.247161828,no,19.1634981,14.27868852,7.643396226,399.9,-0.220960714,0.220960714,0.323425331,0.173322137,yes,0.027027027,0,0.010585979,0.000319394,0,NA,2566492.2,28225587.03,-25659094.83,269593192.8,2.30E-06,0,0
APOLD1,81575,mRNA,ENSG00000178878,1,1,1,0,3,down,up,up,down,up,0.509836263,0.220393572,0.357998277,202,7.84E-09,31965.16614,0.002921492,4.52E-05,0.321757549,no,450.3,261,10.87149633,333.4,0.081696364,0.081696364,0.655911425,0.942326408,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ARF1,375,mRNA,ENSG00000143761,0,0,0,0,0,down,up,down,down,up,0.20228856,0.350474291,0.491129165,95,7.62E-09,16013.16253,0.000375913,4.56E-05,0.15162374,no,5.044585987,161,2.074239464,107.947644,-0.250841667,0.250841667,0.32983568,0.46823539,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ARHGAP30,257106,mRNA,ENSG00000186517,1,0,1,0,2,down,down,down,down,down,-2.777285747,2.55E-06,9.04E-05,4631,1.09E-08,7581.407975,0.765125008,0.000128246,0.485885755,no,326.3,13.99599803,66.7628866,402.2244126,0.032584314,0.032584314,0.758569609,0.958438567,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ARHGAP9,64333,mRNA,ENSG00000123329,1,0,1,0,2,down,down,down,down,down,-3.633489605,6.18E-06,0.000166175,5245,1.16E-08,7026.952596,0.89465323,0.000140213,0.484492732,no,248.9,10.89010989,405.1,26.86207808,0.149207014,0.149207014,0.245560676,0.591032029,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ARHGDIB,397,mRNA,ENSG00000111348,0,0,0,1,1,down,down,down,down,down,-2.358183189,2.38E-07,1.86E-05,3842,1.04E-08,14243.14785,0.575826056,0.000112635,0.448167874,no,2.735938076,14.02585604,6.192772418,4521.4,0.088815079,0.088815079,0.645437778,0.429173966,no,0.000631313,0,0.02117438,0.001416631,0.367588933,NA,113273133.3,499559463,-386286329.7,269593192.8,0.020025765,9,1
ARHGEF35,445328,mRNA,ENSG00000213214,0,0,1,0,1,up,up,up,down,up,2.562772699,0.000120065,0.001497683,2990,2.29E-08,4755.006975,0.384509912,9.34E-05,0.424252583,no,4.597942871,9.358862144,18.34821815,15.40795004,-0.331171429,0.331171429,0.094551459,0.184551937,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ARHGEF38,54848,mRNA,ENSG00000236699,1,1,1,0,3,up,up,up,up,up,4.367337428,2.43E-07,1.87E-05,2733,2.89E-08,4746.27857,0.359516106,8.68E-05,0.448396824,no,633.6,251,3084.1,9.883040936,0.149892222,0.149892222,0.521321498,0.532770196,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ARID3A,1820,mRNA,ENSG00000116017,0,0,0,0,0,up,up,up,down,up,1.431246933,0.000540932,0.004553895,3304,1.74E-08,11689.15365,0.42749026,0.000105166,0.41023807,no,37.146875,3.530413625,4.38384966,18.90712195,-0.019187397,0.019187397,0.847162841,0.68952885,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ARID5A,10865,mRNA,ENSG00000196843,0,0,0,1,1,down,down,down,down,down,-1.873041869,2.39E-05,0.0004566,4524,9.84E-09,9366.735621,0.746205696,0.000125044,0.491685096,no,12.66289825,4.685220729,2.233055704,3108.7,-0.099181282,0.099181282,0.415327207,0.47315317,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
